,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
Kappa2,0.1722030327981776,0.5296149325907518,0.03931023795797195,0.041581001497529746,0.061984449043289924,0.01941886480514321,0.021469117929044046,0.12651166237455833
Kappa3,0.09560883809986898,0.48908009025474897,0.07476612762308532,0.037559672786716236,0.038722626941323,0.044612953354206786,0.02424458608910629,0.11494212787843651
LabuteASA,0.17102680472078235,0.6955387005022411,0.06724918770697519,0.033742046692797345,0.05764278093387931,0.020898509435789636,0.03370489081514938,0.15425756011537348
PEOE_VSA1,0.1111392197781309,0.3732675387070903,0.07503957165573283,0.07311362044961545,0.13476798384173505,0.042738520434262295,0.061321547601730364,0.12448400035261388
PEOE_VSA10,0.08493140313355374,0.19154583369654876,0.0714749827312291,0.025646412673144603,0.024467316541082473,0.01856943866295313,0.03878311227941822,0.06505978567399
PEOE_VSA11,0.04643357881507004,0.24163040494933252,0.04729525996284156,0.013381247344419256,0.04707217186045187,0.02666247005800293,0.02486545078407243,0.06390579768202723
PEOE_VSA12,0.05904228039084014,0.23261343012305846,0.07549070417459713,0.008179202564960963,0.0263527550736653,0.028529781161305,0.02148789148175756,0.06452800642431208
PEOE_VSA13,0.04403285365774523,0.11697613123410888,0.03517257648182559,0.0035166713001566485,0.002306121498809155,0.031109692784670573,0.022403713608240006,0.03650253722365087
PEOE_VSA14,0.11550414438807755,0.19212697617791297,0.06999519938193055,0.005957538240225713,0.002271775655553032,0.013839938282319553,0.0056707446940773565,0.05790947383144239
PEOE_VSA2,0.11644692498508302,0.3018868898005871,0.10217280142877927,0.04260694523463315,0.04326666829625947,0.07303956288936608,0.054645958091224855,0.10486653581799042
PEOE_VSA3,0.06687472493293756,0.23933989139527734,0.04805863319606729,0.0,0.019402061559652184,0.0,0.012829992288087455,0.05521504333886026
PEOE_VSA4,0.024192033845971128,0.12914156433416246,0.04838248680906698,0.0,0.0038960924280113662,0.0,0.0,0.02937316820245885
PEOE_VSA5,0.03241101820687753,0.09162772311759437,0.028183653556191013,0.0,0.0,0.0,0.0,0.021746056411523274
PEOE_VSA6,0.05921652575526082,0.2868767047204557,0.07561222162319092,0.058012054203180785,0.09502377772798587,0.04504647647332205,0.040833962032317705,0.09437453179081626
PEOE_VSA7,0.08761497808760677,0.31185009035842626,0.057808264763138606,0.06996625282972735,0.08524559127321374,0.02810229566783029,0.0314158754024676,0.09600047834034438
PEOE_VSA8,0.08785470271608942,0.33837400789627115,0.06253818279263967,0.06051462928419582,0.10587932444316661,0.04192910058369459,0.05148905114715241,0.10693985698045852
PEOE_VSA9,0.10435435055107689,0.2776285772715834,0.07093894929583389,0.07275187346928691,0.0973451631134945,0.04836645181398902,0.017454924472575906,0.09840575571254864
SMR_VSA1,0.12599722734266594,0.3687538709778777,0.09602539495128237,0.06445010504596071,0.07835470337584605,0.05736883296084838,0.06225026416946511,0.12188577126056375
SMR_VSA10,0.05590859347726873,0.376389874215167,0.07246994411356189,0.05265418107226294,0.07516723822978122,0.023359072565761307,0.03008173712907536,0.09800437725755407
SMR_VSA2,0.002104605818091354,0.0,0.0,0.015242052268500172,0.021099297781511206,0.00983479088983974,0.0019079933045600406,0.00716982000892893
SMR_VSA3,0.0864151939297777,0.2291792608733063,0.06748676103462703,0.016179463687761908,0.05257152455404035,0.024696015479362732,0.026099463798219036,0.0718039547652993
SMR_VSA4,0.12281609601300492,0.32642846394515024,0.13624282131454502,0.044313635150969644,0.07819785324500406,0.05837041976057522,0.047025692207369074,0.11619928309094545
SMR_VSA5,0.08127284211726593,0.3512605161612594,0.1168910234914482,0.09629608126593325,0.11701212137425032,0.051868230519224845,0.08313947194315463,0.12824861241036237
