dropped_feature,kept_feature,correlation,MI_dropped,MI_kept,reason
LabuteASA,Chi0n,0.969343243633757,0.14814399928391636,0.1426077843007387,"r = 0.969, LabuteASA < Chi0n по MI"
LabuteASA,MolWt,0.987282360585445,0.14814399928391636,0.20721746416107756,"r = 0.987, LabuteASA < MolWt по MI"
LabuteASA,HeavyAtomMolWt,0.9739169922474025,0.14814399928391636,0.1795048093205949,"r = 0.974, LabuteASA < HeavyAtomMolWt по MI"
LabuteASA,NumValenceElectrons,0.9902582308059477,0.14814399928391636,0.14643419654105763,"r = 0.990, LabuteASA < NumValenceElectrons по MI"
LabuteASA,Chi0,0.989015009914934,0.14814399928391636,0.17288247418979735,"r = 0.989, LabuteASA < Chi0 по MI"
LabuteASA,ExactMolWt,0.9873666550253437,0.14814399928391636,0.21602777803213,"r = 0.987, LabuteASA < ExactMolWt по MI"
LabuteASA,Chi0v,0.9788940058018498,0.14814399928391636,0.13131601174348415,"r = 0.979, LabuteASA < Chi0v по MI"
LabuteASA,Chi1,0.9919884032553093,0.14814399928391636,0.14486150747421775,"r = 0.992, LabuteASA < Chi1 по MI"
LabuteASA,Chi1v,0.9550166045778851,0.14814399928391636,0.13680242032082865,"r = 0.955, LabuteASA < Chi1v по MI"
LabuteASA,Kappa1,0.9696003027074341,0.14814399928391636,0.15279337366870596,"r = 0.970, LabuteASA < Kappa1 по MI"
NumValenceElectrons,Chi0n,0.9751061445203508,0.14643419654105763,0.1426077843007387,"r = 0.975, NumValenceElectrons < Chi0n по MI"
NumValenceElectrons,ExactMolWt,0.9796077508161523,0.14643419654105763,0.21602777803213,"r = 0.980, NumValenceElectrons < ExactMolWt по MI"
NumValenceElectrons,HeavyAtomMolWt,0.9623842161511794,0.14643419654105763,0.1795048093205949,"r = 0.962, NumValenceElectrons < HeavyAtomMolWt по MI"
NumValenceElectrons,MolWt,0.9793802915661358,0.14643419654105763,0.20721746416107756,"r = 0.979, NumValenceElectrons < MolWt по MI"
Chi1,Chi0,0.9906574256991344,0.14486150747421775,0.17288247418979735,"r = 0.991, Chi1 < Chi0 по MI"
Chi1,NumValenceElectrons,0.9838081115561339,0.14486150747421775,0.14643419654105763,"r = 0.984, Chi1 < NumValenceElectrons по MI"
Chi1,ExactMolWt,0.9859368610526796,0.14486150747421775,0.21602777803213,"r = 0.986, Chi1 < ExactMolWt по MI"
Chi1,HeavyAtomMolWt,0.9801076149200816,0.14486150747421775,0.1795048093205949,"r = 0.980, Chi1 < HeavyAtomMolWt по MI"
