,reg_IC50,reg_CC50,reg_SI,clf_IC50,clf_CC50,clf_SI,clf_SI_gt_8,MI_avg
Chi1,0.16565081723961006,0.6406045342501576,0.05288748204005733,0.058943316717272376,0.07503651205281914,0.0028271557951922155,0.018080734224415584,0.14486150747421775
Chi1n,0.10224266558603778,0.4851785513000402,0.0870209291185513,0.04982540771198307,0.03428190633128558,0.03967861357909963,0.074733040697474,0.12470873061778165
Chi1v,0.10922398323566851,0.5382464466883481,0.08073652477926707,0.03569308474960842,0.05364606531696947,0.0557991571852996,0.08427168029063936,0.13680242032082865
Chi2n,0.1043201852252107,0.3411464893004452,0.012893314912689302,0.04496568448479166,0.07556637353109008,0.04362275373840241,0.058410428570015105,0.09727503282323492
Chi2v,0.12274342390189741,0.3641535893057104,0.033587458749742005,0.013304552607288356,0.054956514425618996,0.02698265109731679,0.033399767719127116,0.0927325654009573
Chi3n,0.07461497497650216,0.32402927959460204,0.0931501201827305,0.02918321929444967,0.0622870447394166,0.024745317315076676,0.0,0.08685856515753966
Chi3v,0.09297071260106593,0.34869760950406903,0.051131392704972356,0.03989966381068144,0.05928945194646107,0.009962962457948699,0.004767058643790678,0.08667412166699846
Chi4n,0.14538080624636818,0.2568418137335584,0.02968115065161081,0.02520503082591663,0.03821282840561668,0.03213658643868045,0.020199540497016333,0.07823682239982392
Chi4v,0.11272298447691309,0.28173809348790213,0.03614751344968914,0.023897962590273325,0.04985152191896436,0.0,0.0,0.07205115370339173
HallKierAlpha,0.11510371392839591,0.41937146663837455,0.02645747734880155,0.07203302573174475,0.09089893240964031,0.06874902280992612,0.07351890818438878,0.12373322100732456
Kappa1,0.19820872297854297,0.6041836344183675,0.06835401278920683,0.043069187679523724,0.053627198033725954,0.0665054436133885,0.035605416168186244,0.15279337366870596
Kappa2,0.1709508573227132,0.5154489819063892,0.017961493280607588,0.04295938724272852,0.06275669050189214,0.030032756909834868,0.025162952874582478,0.12361044571982115
